Datetime, Search terms, Website, Result number, Total results requested, ID number, Title, Abstract, Downloaded?, FileNamePath
011620-195319,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,1,1000,31940350,Evaluating risk prediction models for adults with heart failure: A systematic literature review.,"BACKGROUND: The ability to predict risk allows healthcare providers to propose
which patients might benefit most from certain therapies, and is relevant to
payers' demands to justify clinical and economic value. To understand the
robustness of risk prediction models for heart failure (HF), we conducted a
systematic literature review to (1) identify HF risk-prediction models, (2)
assess statistical approach and extent of validation, (3) identify common
variables, and (4) assess risk of bias (ROB).
METHODS: Literature databases were searched from March 2013 to May 2018 to
identify risk prediction models conducted in an out-of-hospital setting in adults
with HF. Distinct risk prediction variables were ranked according to outcomes
assessed and incorporation into the studies. ROB was assessed using Prediction
model Risk Of Bias ASsessment Tool (PROBAST).
RESULTS: Of 4720 non-duplicated citations, 40 risk-prediction publications were
deemed relevant. Within the 40 publications, 58 models assessed 55 (co)primary
outcomes, including all-cause mortality (n = 17), cardiovascular death (n = 9),
HF hospitalizations (n = 15), and composite endpoints (n = 14). Few publications 
reported detail on handling missing data (n = 11; 28%). The discriminatory
ability for predicting all-cause mortality, cardiovascular death, and composite
endpoints was generally better than for HF hospitalization. 105 distinct
predictor variables were identified. Predictors included in >5 publications were:
N-terminal prohormone brain-natriuretic peptide, creatinine, blood urea nitrogen,
systolic blood pressure, sodium, NYHA class, left ventricular ejection fraction, 
heart rate, and characteristics including male sex, diabetes, age, and BMI. Only 
11/58 (19%) models had overall low ROB, based on our application of PROBAST. In
total, 26/58 (45%) models discussed internal validation, and 14/58 (24%) external
validation.
CONCLUSIONS: The majority of the 58 identified risk-prediction models for HF
present particular concerns according to ROB assessment, mainly due to lack of
validation and calibration. The potential utility of novel approaches such as
machine learning tools is yet to be determined.
REGISTRATION NUMBER: The SLR was registered in Prospero (ID: CRD42018100709).",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31940350.pdf
011620-195319,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,2,1000,31939003,Automated Cardiovascular Pathology Assessment Using Semantic Segmentation and Ensemble Learning.,"Cardiac magnetic resonance imaging provides high spatial resolution, enabling
improved extraction of important functional and morphological features for
cardiovascular disease staging. Segmentation of ventricular cavities and
myocardium in cardiac cine sequencing provides a basis to quantify cardiac
measures such as ejection fraction. A method is presented that curtails the
expense and observer bias of manual cardiac evaluation by combining semantic
segmentation and disease classification into a fully automatic processing
pipeline. The initial processing element consists of a robust dilated
convolutional neural network architecture for voxel-wise segmentation of the
myocardium and ventricular cavities. The resulting comprehensive volumetric
feature matrix captures diagnostic clinical procedure data and is utilized by the
final processing element to model a cardiac pathology classifier. Our approach
evaluated anonymized cardiac images from a training data set of 100 patients (4
pathology groups, 1 healthy group, 20 patients per group) examined at the
University Hospital of Dijon. The top average Dice index scores achieved were
0.940, 0.886, and 0.849 for structure segmentation of the left ventricle (LV),
myocardium, and right ventricle (RV), respectively. A 5-ary pathology
classification accuracy of 90% was recorded on an independent test set using the 
trained model. Performance results demonstrate the potential for advanced machine
learning methods to deliver accurate, efficient, and reproducible cardiac
pathological assessment.",Error: No result found on sci-hub.tw for 31939003,Nan
011620-195319,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,3,1000,31938934,Physiological Assessment of Coronary Lesions in 2020.,"PURPOSE OF REVIEW: Physiological assessment of coronary artery disease (CAD) is
an essential component of the interventional cardiology toolbox. However, despite
long-term data demonstrating improved outcomes, physiology-guided percutaneous
coronary intervention (PCI) remains underutilized in current practice. This
review outlines the indications and technical aspects involved in evaluating
coronary stenosis physiology, focusing on the latest developments in the field.
RECENT FINDINGS: Beyond fractional flow reserve (FFR), non-hyperemic pressure
ratios (NHPR) that assess coronary physiology at rest without hyperemia now
abound. Additional advances in other alternative FFR approaches, including
non-invasive coronary CT (FFRCT), invasive angiography (FFRangio), and optical
coherence tomography (FFROCT), are being realized. Artificial intelligence
algorithms and robust tools that enable detailed pre-procedure ""virtual""
intervention are also emerging. The benefits of coronary physiological assessment
to determine lesion functional significance are well established. In addition to 
stable CAD, coronary physiology can be especially helpful in clinical scenarios
such as left main and multivessel CAD, serial lesions, non-infarct-related
arteries in acute coronary syndromes, and residual ischemia post-PCI. Today,
coronary physiological assessment remains an indispensable tool in the
catheterization laboratory, with an exciting technological future that will
further refine clinical practice and improve patient care.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31938934.pdf
011620-195319,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,4,1000,31938923,Of Machines and Men: Intelligent Diagnosis and the Shape of Things to Come.,"Artificial Intelligence (AI), although well established in many areas of everyday
life, has only recently been trialed in the diagnosis and management of common
clinical conditions. This editorial review highlights progress to date and
suggests further improvements in and trials of AI in the management of conditions
such as hypertension.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31938923.pdf
011620-195320,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,5,1000,31937940,"Cytosine and adenine base editing of the brain, liver, retina, heart and skeletal muscle of mice via adeno-associated viruses.","The success of base editors for the study and treatment of genetic diseases
depends on the ability to deliver them in vivo to the relevant cell types.
Delivery via adeno-associated viruses (AAVs) is limited by AAV packaging
capacity, which precludes the use of full-length base editors. Here, we report
the application of dual AAVs for the delivery of split cytosine and adenine base 
editors that are then reconstituted by trans-splicing inteins. Optimized dual
AAVs enable in vivo base editing at therapeutically relevant efficiencies and
dosages in the mouse brain (up to 59% of unsorted cortical tissue), liver (38%), 
retina (38%), heart (20%) and skeletal muscle (9%). We also show that base
editing corrects, in mouse brain tissue, a mutation that causes Niemann-Pick
disease type C (a neurodegenerative ataxia), slowing down neurodegeneration and
increasing lifespan. The optimized delivery vectors should facilitate the
efficient introduction of targeted point mutations into multiple tissues of
therapeutic interest.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31937940.pdf
011620-195321,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,6,1000,31935992,Comparative Pathology of West Nile Virus in Humans and Non-Human Animals.,"West Nile virus (WNV) continues to be a major cause of human arboviral
neuroinvasive disease. Susceptible non-human vertebrates are particularly
diverse, ranging from commonly affected birds and horses to less commonly
affected species such as alligators. This review summarizes the pathology caused 
by West Nile virus during natural infections of humans and non-human animals.
While the most well-known findings in human infection involve the central nervous
system, WNV can also cause significant lesions in the heart, kidneys and eyes.
Time has also revealed chronic neurologic sequelae related to prior human WNV
infection. Similarly, neurologic disease is a prominent manifestation of WNV
infection in most non-human non-host animals. However, in some avian species,
which serve as the vertebrate host for WNV maintenance in nature, severe systemic
disease can occur, with neurologic, cardiac, intestinal and renal injury leading 
to death. The pathology seen in experimental animal models of West Nile virus
infection and knowledge gains on viral pathogenesis derived from these animal
models are also briefly discussed. A gap in the current literature exists
regarding the relationship between the neurotropic nature of WNV in vertebrates, 
virus propagation and transmission in nature. This and other knowledge gaps, and 
future directions for research into WNV pathology, are addressed.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31935992.pdf
011620-195321,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,7,1000,31934647,Photoplethysmography based atrial fibrillation detection: a review.,"Atrial fibrillation (AF) is a cardiac rhythm disorder associated with increased
morbidity and mortality. It is the leading risk factor for cardioembolic stroke
and its early detection is crucial in both primary and secondary stroke
prevention. Continuous monitoring of cardiac rhythm is today possible thanks to
consumer-grade wearable devices, enabling transformative diagnostic and patient
management tools. Such monitoring is possible using low-cost easy-to-implement
optical sensors that today equip the majority of wearables. These sensors record 
blood volume variations-a technology known as photoplethysmography (PPG)-from
which the heart rate and other physiological parameters can be extracted to
inform about user activity, fitness, sleep, and health. Recently, new wearable
devices were introduced as being capable of AF detection, evidenced by large
prospective trials in some cases. Such devices would allow for early screening of
AF and initiation of therapy to prevent stroke. This review is a summary of a
body of work on AF detection using PPG. A thorough account of the signal
processing, machine learning, and deep learning approaches used in these studies 
is presented, followed by a discussion of their limitations and challenges
towards clinical applications.

© The Author(s) 2020.",Error: No result found on sci-hub.tw for 31934647,Nan
011620-195322,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,8,1000,31932774,"FLOW-MAP: a graph-based, force-directed layout algorithm for trajectory mapping in single-cell time course datasets.","High-dimensional single-cell technologies present new opportunities for
biological discovery, but the complex nature of the resulting datasets makes it
challenging to perform comprehensive analysis. One particular challenge is the
analysis of single-cell time course datasets: how to identify unique cell
populations and track how they change across time points. To facilitate this
analysis, we developed FLOW-MAP, a graphical user interface (GUI)-based software 
tool that uses graph layout analysis with sequential time ordering to visualize
cellular trajectories in high-dimensional single-cell datasets obtained from flow
cytometry, mass cytometry or single-cell RNA sequencing (scRNAseq) experiments.
Here we provide a detailed description of the FLOW-MAP algorithm and how to use
the open-source R package FLOWMAPR via its GUI or with text-based commands. This 
approach can be applied to many dynamic processes, including in vitro stem cell
differentiation, in vivo development, oncogenesis, the emergence of drug
resistance and cell signaling dynamics. To demonstrate our approach, we perform a
step-by-step analysis of a single-cell mass cytometry time course dataset from
mouse embryonic stem cells differentiating into the three germ layers: endoderm, 
mesoderm and ectoderm. In addition, we demonstrate FLOW-MAP analysis of a
previously published scRNAseq dataset. Using both synthetic and experimental
datasets for comparison, we perform FLOW-MAP analysis side by side with other
single-cell analysis methods, to illustrate when it is advantageous to use the
FLOW-MAP approach. The protocol takes between 30 min and 1.5 h to complete.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31932774.pdf
011620-195322,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,9,1000,31932713,Metagenomic sequencing with spiked primer enrichment for viral diagnostics and genomic surveillance.,"Metagenomic next-generation sequencing (mNGS), the shotgun sequencing of RNA and 
DNA from clinical samples, has proved useful for broad-spectrum pathogen
detection and the genomic surveillance of viral outbreaks. An additional target
enrichment step is generally needed for high-sensitivity pathogen identification 
in low-titre infections, yet available methods using PCR or capture probes can be
limited by high cost, narrow scope of detection, lengthy protocols and/or
cross-contamination. Here, we developed metagenomic sequencing with spiked primer
enrichment (MSSPE), a method for enriching targeted RNA viral sequences while
simultaneously retaining metagenomic sensitivity for other pathogens. We
evaluated MSSPE for 14 different viruses, yielding a median tenfold enrichment
and mean 47% (±16%) increase in the breadth of genome coverage over mNGS alone.
Virus detection using MSSPE arboviral or haemorrhagic fever viral panels was
comparable in sensitivity to specific PCR, demonstrating 95% accuracy for the
detection of Zika, Ebola, dengue, chikungunya and yellow fever viruses in plasma 
samples from infected patients. Notably, sequences from re-emerging and/or
co-infecting viruses that have not been specifically targeted a priori, including
Powassan and Usutu, were successfully enriched using MSSPE. MSSPE is simple, low 
cost, fast and deployable on either benchtop or portable nanopore sequencers,
making this method directly applicable for diagnostic laboratory and field use.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31932713.pdf
011620-195323,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,10,1000,31932625,Comparing DNA methylation profiles across different tissues associated with the diagnosis of pediatric asthma.,"DNA methylation (DNAm) profiles in central airway epithelial cells (AECs) may
play a key role in pathological processes in asthma. The goal of the current
study is to compare the diagnostic performance of DNAm markers across three
tissues: AECs, nasal epithelial cells (NECs), and peripheral blood mononuclear
cells (PBMCs). Additionally, we focused on the results using the machine learning
algorithm in the context of multi-locus effects to evaluate the diagnostic
performance of the optimal subset of CpG sites. We obtained 74 subjects with
asthma and 41 controls from AECs, 15 subjects with asthma and 14 controls from
NECs, 697 subjects with asthma and 97 controls from PBMCs. Epigenome-wide DNA
methylation levels in AECs, NECs and PBMCs were measured using the Infinium Human
Methylation 450 K BeadChip. Overlap analysis across the three different sample
sources at the locus and pathway levels were studied to investigate shared or
unique pathophysiological processes of asthma across tissues. Using the top 100
asthma-associated methylation markers as classifiers from each dataset, we found 
that both AEC- and NEC-based DNAm signatures exerted a lower classification error
than the PBMC-based DNAm markers (p-value = 0.0002). The area-under-the-curve
(AUC) analysis based on out-of-bag errors using the random forest classification 
algorithm revealed that PBMC-, NEC-, and AEC-based methylation data yielded 31
loci (AUC: 0.87), 8 loci (AUC: 0.99), and 4 loci (AUC: 0.97) from each optimal
subset of tissue-specific markers, respectively. We also discovered the
locus-locus interaction of DNAm levels of the CDH6 gene and RAPGEF3 gene might
interact with each other to jointly predict the risk of asthma - which suggests
the pivotal role of cell-cell junction in the pathological changes of asthma.
Both AECs and NECs might provide better diagnostic accuracy and efficacy levels
than PBMCs. Further research is warranted to evaluate how these tissue-specific
DNAm markers classify and predict asthma risk.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31932625.pdf
011620-195324,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,11,1000,31932608,Precision Medicine and Artificial Intelligence: A Pilot Study on Deep Learning for Hypoglycemic Events Detection based on ECG.,"Tracking the fluctuations in blood glucose levels is important for healthy
subjects and crucial diabetic patients. Tight glucose monitoring reduces the risk
of hypoglycemia, which can result in a series of complications, especially in
diabetic patients, such as confusion, irritability, seizure and can even be fatal
in specific conditions. Hypoglycemia affects the electrophysiology of the heart. 
However, due to strong inter-subject heterogeneity, previous studies based on a
cohort of subjects failed to deploy electrocardiogram (ECG)-based hypoglycemic
detection systems reliably. The current study used personalised medicine approach
and Artificial Intelligence (AI) to automatically detect nocturnal hypoglycemia
using a few heartbeats of raw ECG signal recorded with non-invasive, wearable
devices, in healthy individuals, monitored 24 hours for 14 consecutive days.
Additionally, we present a visualisation method enabling clinicians to visualise 
which part of the ECG signal (e.g., T-wave, ST-interval) is significantly
associated with the hypoglycemic event in each subject, overcoming the
intelligibility problem of deep-learning methods. These results advance the
feasibility of a real-time, non-invasive hypoglycemia alarming system using short
excerpts of ECG signal.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31932608.pdf
011620-195324,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,12,1000,31932217,Effect of Radiation Doses to the Heart on Survival for Stereotactic Ablative Radiotherapy for Early-stage Non-Small-cell Lung Cancer: An Artificial Neural Network Approach.,"INTRODUCTION: The cardiac radiation dose is an important predictor of cardiac
toxicity and overall survival (OS) for patients with locally advanced
non-small-cell lung cancer (NSCLC). However, radiation-induced cardiac toxicity
among patients with early-stage NSCLC who have undergone stereotactic ablative
radiotherapy (SABR) has been less well-characterized. Our objective was to assess
the associations between cardiac radiation dosimetry and OS in patients with
early-stage NSCLC undergoing SABR.
MATERIALS AND METHODS: From 2009 to 2014, 153 patients with early-stage NSCLC had
undergone SABR at a single institution. The maximum dose, mean dose, V10Gy,
V25Gy, and V50Gy to 15 cardiac substructures and the whole heart were analyzed
for their association with OS using the Kaplan-Meier method. An artificial neural
network (ANN) analysis was performed to modulate confounding behaviors of
dosimetric variables to predict for OS.
RESULTS: A total of 112 patients were included in the present analysis. The right
ventricle (RV) V10Gy most negatively predicted for OS, such that patients who had
received a RV V10Gy dose < 4% had significantly longer OS than patients who had
received a RV V10Gy does > 4% (5.3 years vs. 2.4 years). On ANN analysis, 74
input features, including cardiac dosimetry parameters, predicted for survival
with a test accuracy of 64.7%. A repeat ANN analysis using dosimetry to dose
neutral structure confirmed the predictive power of cardiac dosimetry.
CONCLUSION: Cardiac dosimetry to subvolumes of the heart was associated with
decreased OS in patients with early-stage NSCLC undergoing SABR. These data
support the importance of minimizing the radiation dose to cardiac substructures.
Further prioritizing the heart as an organ at risk might be warranted.
Additionally, cardiac follow-up should be considered.

Copyright © 2019 Elsevier Inc. All rights reserved.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31932217.pdf
011620-195329,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Pubmed,13,1000,31932072,Temporal and tissue-specific activation of aryl hydrocarbon receptor in discrete mouse models of kidney disease.,"Emerging evidence in animal models of chronic kidney disease (CKD) implicates
Aryl Hydrocarbon Receptor (AHR) signaling as a mediator of uremic toxicity.
However, details about its tissue-specific and time-dependent activation in
response to various renal pathologies remain poorly defined. Here, a
comprehensive analysis of AHR induction was conducted in response to discrete
models of kidney diseases using a transgenic mouse line expressing the AHR
responsive-promoter tethered to a β-galactosidase reporter gene. Following
validation using a canonical AHR ligand (a dioxin derivative), the transgenic
mice were subjected to adenine-induced and ischemia/reperfusion-induced injury
models representing CKD and acute kidney injury (AKI), respectively, in humans.
Indoxyl sulfate was artificially increased in mice through the drinking water and
by inhibiting its excretion into the urine. Adenine-fed mice showed a distinct
and significant increase in β-galactosidase in the proximal and distal renal
tubules, cardiac myocytes, hepatocytes, and microvasculature in the cerebral
cortex. The pattern of β-galactosidase increase coincided with the changes in
serum indoxyl sulfate levels. Machine-learning-based image quantification
revealed positive correlations between indoxyl sulfate levels and β-galactosidase
expression in various tissues. This pattern of β-galactosidase expression was
recapitulated in the indoxyl sulfate-specific model. The ischemia/reperfusion
injury model showed increase in β-galactosidase in renal tubules that persisted
despite reduction in serum indoxyl sulfate and blood urea nitrogen levels. Thus, 
our results demonstrate a relationship between AHR activation in various tissues 
of mice with CKD or AKI and the levels of indoxyl sulfate. This study
demonstrates the use of a reporter gene mouse to probe tissue-specific
manifestations of uremia in translationally relevant animal models and provide
hypothesis-generating insights into the mechanism of uremic toxicity that warrant
further investigation.

Published by Elsevier Inc.",Downloaded successfully,/Users/rima/Desktop/test_folder/nih.gov/31932072.pdf
