Document,Phrase,RakeVal,SimVal
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,predict risk allows healthcare providers,23.555555555555557,0.13763638958334923
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf present particular concerns according,21.333333333333336,0.0777988001704216
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assessed using prediction model risk,20.72222222222222,0.06924197152256965
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,identify risk prediction models conducted,17.12222222222222,0.09658324345946312
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,left ventricular ejection fraction,16.0,0.06285456009209156
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,distinct risk prediction variables,14.722222222222221,0.06918284250423312
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,characteristics including male sex,14.5,0.042833952233195305
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx distinct predictor variables,14.431372549019608,0.026009444147348404
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx %) external validation,12.764705882352942,0.05874064130087694
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,"xxx ), hf hospitalizations",12.598039215686274,0.14395860147972903
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx models assessed xxx,12.596078431372547,0.034537860192358494
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,"xxx ), cardiovascular death",11.764705882352942,0.2265488039702177
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk prediction models,10.455555555555556,0.12669244656960169
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,identify common variables,10.333333333333332,0.047371236607432365
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,identify hf risk,10.055555555555555,0.11752037828167279
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx %) models,9.66470588235294,0.046229408122599125
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,terminal prohormone brain,9.0,0.10691695908705394
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,systolic blood pressure,9.0,0.19706550737222037
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,patients might benefit,9.0,0.17430907239516577
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,machine learning tools,9.0,0.017356942718227703
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,handling missing data,9.0,0.029383260756731033
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,blood urea nitrogen,9.0,0.08491628368695577
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,systematic literature review,8.5,0.11429194112618764
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assess statistical approach,8.5,0.0682396503786246
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,publications reported detail,8.333333333333334,0.061810540656248726
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx identified risk,8.320261437908496,0.09385622354845206
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,overall low rob,8.0,0.036160012086232506
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,bias assessment tool,7.5,0.02515859839816888
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction models,6.9,0.09293749555945396
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx risk,6.3202614379084965,0.08913372922688723
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assess risk,6.055555555555555,0.1279876697808504
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,cardiovascular death,6.0,0.3477906510233879
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction publications,5.833333333333334,0.0990343950688839
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,"hf ),",5.833333333333334,0.1109897643327713
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,"xxx ),",5.764705882352941,-0.015934890136122704
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,outcomes assessed,5.666666666666666,0.14744332060217857
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,ranked according,5.5,0.03414288908243179
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx publications,5.098039215686274,0.05232630763202906
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf hospitalization,4.833333333333334,0.18449676781892776
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx non,4.764705882352941,0.024027195759117603
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx ).,4.764705882352941,-0.015934890136122704
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx %).,4.764705882352941,-0.015934890136122704
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,may xxx,4.764705882352941,-0.012824242003262043
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,march xxx,4.764705882352941,-0.02176338154822588
