Index,Title
0,Can exercise ameliorate treatment toxicity during the initial phase of testosterone deprivation in prostate cancer patients? Is this more effective than delayed rehabilitation?
1,Stretch current-induced abnormal impulses in CaMKIIδ knockout mouse ventricular myocytes.
2,Nitric oxide-independent stimulation of soluble guanylate cyclase reduces organ damage in experimental low-renin and high-renin models.
3,Patient specific 4D coronary models from ECG-gated CTA data for intra-operative dynamic alignment of CTA with X-ray images.
4,Safety of intra-aortic balloon pump using glycoprotein IIb/IIIa antagonists.
5,Discovery and structural characterization of a phospholamban-binding cyclic peptide and design of novel inhibitors of phospholamban.
6,"Effect of atorvastatin, cholesterol ester transfer protein inhibition, and diabetes mellitus on circulating proprotein subtilisin kexin type 9 and lipoprotein(a) levels in patients at high cardiovascular risk."
7,Efficacy and Safety of Loading Doses With P2Y12-Receptor Antagonists in Patients Without Dual Antiplatelet Therapy Undergoing Elective Coronary Intervention.
8,Flow-induced dilation is mediated by Akt-dependent activation of endothelial nitric oxide synthase-derived hydrogen peroxide in mouse cerebral arteries.
9,Digoxin inhibits development of hypoxic pulmonary hypertension in mice.
10,Hydrogen sulfide inhibits PCSK9 expression through the PI3K/Akt‑SREBP‑2 signaling pathway to influence lipid metabolism in HepG2 cells.
11,"Repeat antenatal steroid exposure and later blood pressure, arterial stiffness, and metabolic profile."
12,High pacing rates for management of aortic insufficiency after balloon aortic valvuloplasty or transcatheter aortic valve replacement.
13,Inhibition of NO synthesis enhances chronic cardiovascular and renal actions of leptin.
14,Spironolactone attenuates experimental uremic cardiomyopathy by antagonizing marinobufagenin.
15,Possible involvement of basic FGF in the upregulation of PDGFRβ in pericytes after ischemic stroke.
16,Nitrite consumption in ischemic rat heart catalyzed by distinct blood-borne and tissue factors.
17,[Effect of statin therapy on mortality in patients with non-ischemic dilated cardiomyopathy].
18,"Effects of simvastatin and L-arginine on vasodilation, nitric oxide metabolites and endogenous NOS inhibitors in hypercholesterolemic subjects."
19,Enhanced contribution of NO to exercise-induced coronary responses after alpha-adrenergic receptor blockade.
20,Effects of isosorbide mononitrate and AII inhibition on pulse wave reflection in hypertension.
21,Epigenetic Priming of Human Pluripotent Stem Cell-Derived Cardiac Progenitor Cells Accelerates Cardiomyocyte Maturation.
22,Small-conductance calcium-activated potassium channel and recurrent ventricular fibrillation in failing rabbit ventricles.
23,Evidence that diclofenac and celecoxib are thyroid hormone receptor beta antagonists.
24,Six-month outcomes of percutaneous coronary balloon angioplasty in acute coronary syndromes: Results from the PURSUIT trial.
25,Safety of Fixed Dose of Antihypertensive Drug Combinations Compared to (Single Pill) Free-Combinations: A Nested Matched Case-Control Analysis.
26,Extending the cardioprotective window using a novel delta-opioid agonist fentanyl isothiocyanate via the PI3-kinase pathway.
27,Pharmacological inhibition of DNA methylation attenuates pressure overload-induced cardiac hypertrophy in rats.
28,[Double Blockade of Aldosterone Receptors as a Method of Elimination Negative Effects of Non-Steroidal Anti-Inflammatory Drugs in Chronic Heart Failure].
29,Mechanism of attenuation of diabetes mellitus and hypercholesterolemia induced vascular endothelial dysfunction by protein tyrosine phosphatase inhibition.
30,Effects of caffeine on fractional flow reserve values measured using intravenous adenosine triphosphate.
31,"miR-449a induces EndMT, promotes the development of atherosclerosis by targeting the interaction between AdipoR2 and E-cadherin in Lipid Rafts."
32,New BRAF knockin mice provide a pathogenetic mechanism of developmental defects and a therapeutic approach in cardio-facio-cutaneous syndrome.
33,Resveratrol and estradiol rapidly activate MAPK signaling through estrogen receptors alpha and beta in endothelial cells.
34,[Tanshinone IIA sulfonate upregulated pulmonary artery smooth muscle peroxisome proliferator-activated receptor γ expression in monocrotaline induced pulmonary hypertension rat].
35,Utility of post-procedural anticoagulation after primary PCI for STEMI: insights from a pooled analysis of the HORIZONS-AMI and EUROMAX trials.
36,Over-expression of Slit2 induces vessel formation and changes blood vessel permeability in mouse brain.
37,Dissecting active ingredients of Chinese medicine by content-weighted ingredient-target network.
38,Life Psychosocial Stresses and Coronary Artery Disease.
39,[Role of RAAS inhibitors for the treatment of heart failure].
40,Reference value of brachial-ankle pulse wave velocity for the eastern Chinese population and potential influencing factors.
41,Bradykinin metabolism in rat hearts with left-ventricular hypertrophy following myocardial infarction.
42,Akt or phosphoinositide-3-kinase inhibition reverses cardio-protection in Toll-like receptor 2 deficient mice.
43,Angiotensin II-induced cardiomyocyte hypertrophy and cardiac fibrosis in stroke-prone spontaneously hypertensive rats.
