Index,Title
0,Evaluating risk prediction models for adults with heart failure: A systematic literature review.
1,Automated Cardiovascular Pathology Assessment Using Semantic Segmentation and Ensemble Learning.
2,Physiological Assessment of Coronary Lesions in 2020.
3,Of Machines and Men: Intelligent Diagnosis and the Shape of Things to Come.
4,"Cytosine and adenine base editing of the brain, liver, retina, heart and skeletal muscle of mice via adeno-associated viruses."
5,Comparative Pathology of West Nile Virus in Humans and Non-Human Animals.
6,Photoplethysmography based atrial fibrillation detection: a review.
7,"FLOW-MAP: a graph-based, force-directed layout algorithm for trajectory mapping in single-cell time course datasets."
8,Comparing DNA methylation profiles across different tissues associated with the diagnosis of pediatric asthma.
9,Precision Medicine and Artificial Intelligence: A Pilot Study on Deep Learning for Hypoglycemic Events Detection based on ECG.
10,Effect of Radiation Doses to the Heart on Survival for Stereotactic Ablative Radiotherapy for Early-stage Non-Small-cell Lung Cancer: An Artificial Neural Network Approach.
11,Temporal and tissue-specific activation of aryl hydrocarbon receptor in discrete mouse models of kidney disease.
12,Excess brain age in the sleep electroencephalogram predicts reduced life expectancy.
13,Gated recurrent unit-based heart sound analysis for heart failure screening.
14,Data-driven multivariate population subgrouping via lipoprotein phenotypes versus apolipoprotein B in the risk assessment of coronary heart disease.
15,Pharmacological aspects of ANGPTL3 and ANGPTL4 inhibitors: new therapeutic approaches for the treatment of atherogenic dyslipidemia.
16,Technology anxiety and resistance to change behavioral study of a wearable cardiac warming system using an extended TAM for older adults.
17,Evaluation of sex differences in dietary behaviours and their relationship with cardiovascular risk factors: a cross-sectional study of nationally representative surveys in seven low- and middle-income countries.
18,"Effects of tibolone or continuous combined oestradiol and norethisterone acetate on lipids, HDL subfractions and apolipoproteins in post-menopausal women in a two-year, randomised, double-blind, placebo-controlled trial."
19,Heart Failure With Mid-range Ejection Fraction.
20,Arterial Stiffness and Coronary Ischemia: New Aspects and Paradigms.
21,Transcriptional programming and T cell receptor repertoires distinguish human lung and lymph node memory T cells.
22,Machine-learning facilitates selection of a novel diagnostic panel of metabolites for the detection of heart failure.
23,Contrast-Enhanced Ultrasound Quantification: From Kinetic Modeling to Machine Learning.
24,Early expressed circulating long noncoding RNA CHAST is associated with cardiac contractile function in patients with acute myocardial infarction.
25,An unsupervised learning approach to identify novel signatures of health and disease from multimodal data.
26,Machine learning-based mortality prediction of patients undergoing cardiac resynchronization therapy: the SEMMELWEIS-CRT score.
27,Single-modal and multi-modal false arrhythmia alarm reduction using attention-based convolutional and recurrent neural networks.
28,Status of glycosylated hemoglobin and prediction of glycemic control among patients with insulin-treated type 2 diabetes in North China: a multicenter observational study.
29,Comparison of Machine Learning Methods With Traditional Models for Use of Administrative Claims With Electronic Medical Records to Predict Heart Failure Outcomes.
30,Temporal association of neuropsychological test performance using unsupervised learning reveals a distinct signature of Alzheimer's disease status.
31,Extreme Consumers of Health Care: Patterns of Care Utilization in Patients with Multiple Chronic Conditions Admitted to a Novel Integrated Clinic.
32,Improving Long-QT syndrome Diagnosis by a Polynomial-Based T-wave Morphology Characterization.
33,Management of Heart Failure with Reduced Ejection Fraction after ESC 2016 Heart Failure Guidelines: The Linx Registry.
34,PAIT-Survey Follow-Up: Changes in Albuminuria in Hypertensive Diabetic Patients with Mild-Moderate Chronic Kidney Disease.
35,Cardiovascular drug use among people with cognitive impairment living in nursing homes in northern Sweden.
36,Plasma &lt;i&gt;N&lt;/i&gt;-Glycans as Emerging Biomarkers of Cardiometabolic Risk: A Prospective Investigation in the EPIC-Potsdam Cohort Study.
37,[Effects of dexmedetomidine on injury of lungs and CHOP protein expression in elderly patients with lung cancer during one-lung ventilation].
38,Apolipoprotein-AI mimetic peptides D-4F and L-5F decrease hepatic inflammation and increase insulin sensitivity in C57BL/6 mice.
39,PPLK&lt;sup&gt;+&lt;/sup&gt;C: A Bioinformatics Tool for Predicting Peptide Ligands of Potassium Channels Based on Primary Structure Information.
40,Identification of novel pheno-groups in heart failure with preserved ejection fraction using machine learning.
41,Machine Learning in Fetal Cardiology: What to Expect.
42,Label-Free Tomographic Imaging of Lipid Droplets in Foam Cells for Machine-Learning-Assisted Therapeutic Evaluation of Targeted Nanodrugs.
43,Supervised machine learning models applied to disease diagnosis and prognosis.
44,"Protein kinase C-delta inhibition is organ-protective, enhances pathogen clearance, and improves survival in sepsis."
45,Innovations in pharmacological treatment of heart failure.
46,Prediction of 30-Day Readmission for COPD Patients Using Accelerometer-Based Activity Monitoring.
47,Origin of Monocytes/Macrophages Contributing to Chronic Inflammation in Chagas Disease: SIRT1 Inhibition of FAK-NFκB-Dependent Proliferation and Proinflammatory Activation of Macrophages.
48,Mood disorders and increased risk of non-communicable disease in adults with HIV.
49,"The risk of fractures, acute myocardial infarction, atrial fibrillation and ventricular arrhythmia in geriatric patients exposed to promethazine."
50,Coronary calcification segmentation in intravascular OCT images using deep learning: application to calcification scoring.
51,Prediction of Left Ventricular Mechanics Using Machine Learning.
52,Chronic mucocutaneous candidiasis and connective tissue disorder in humans with impaired JNK1-dependent responses to IL-17A/F and TGF-β.
53,Chronic heart failure increases negative chronotropic effects of adenosine in canine sinoatrial cells via A1R stimulation and GIRK-mediated I&lt;sub&gt;Kado&lt;/sub&gt;.
54,Slow-paced inspiration regularizes alpha phase dynamics in the human brain.
55,Implications for REDUCE IT in clinical practice.
56,ACE Inhibitors Versus ARBs in Patients With NSTEMI With Preserved LV Systolic Function Who Underwent PCI With New Generation Drug-Eluting Stents.
57,Women had favourable reverse left ventricle remodelling after TAVR.
58,Reducing cardiovascular risk in patients with familial hypercholesterolemia: Risk prediction and lipid management.
59,"Family studies of warts, hypogammaglobulinemia, immunodeficiency, myelokathexis syndrome."
60,"Design and development of molecular hybrids of 2-pyridylpiperazine and 5-phenyl-1,3,4-oxadiazoles as potential multifunctional agents to treat Alzheimer's disease."
61,"The effect of memantine, an antagonist of the NMDA glutamate receptor, in in vitro and in vivo infections by Trypanosoma cruzi."
62,Chondroprotective and antiarthritic effects of Daphnetin used in vitro and in vivo osteoarthritis models.
63,Perioperative use of renin-angiotensin system inhibitors and outcomes in patients undergoing cardiac surgery.
64,"Metabolite profiling, arginase inhibition and vasorelaxant activity of Cornus mas, Sorbus aucuparia and Viburnum opulus fruit extracts."
65,"Effects of the levonorgestrel-containing intrauterine device, copper intrauterine device, and levonorgestrel-containing oral contraceptive on susceptibility of immune cells from cervix, endometrium and blood to HIV-1 fusion measured ex vivo."
66,"Normalizing Plasma Renin Activity in Experimental Dilated Cardiomyopathy: Effects on Edema, Cachexia, and Survival."
67,Blockade of TRPV2 is a Novel Therapy for Cardiomyopathy in Muscular Dystrophy.
68,Lung Innate Lymphoid Cell Composition Is Altered in Primary Graft Dysfunction.
69,Practical guide for the use of PCSK9 inhibitors in Portugal.
