Document,Phrase,MLVal,RefinedWord,RefinedVal,ManRefWord,ManRefVal
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,models,0.53762007,model,0.8940372,markov-model,0.7015921
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,discussed,0.32159716,of,0.5174893,confusion-matrix,0.45636517
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,internal,0.22486365,of,0.4487089,dimensionality-reduction,0.37939572
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,validation,0.5362086,cross-validation,0.74016297,cross-validation,0.74016297
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,internal-validation,0.5682592,cross-validation,0.7429799,cross-validation,0.7429799
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,predict,0.51602554,model,0.53463185,classification-algorithm,0.52342355
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.35860935,recurrent,0.53675485,logistic-regression,0.52381086
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,allows,0.45551884,of,0.5544299,stochastic,0.53129333
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,healthcare,0.40112603,data-science,0.6050074,data-science,0.6050074
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,providers,0.42136738,decision,0.6396354,data-science,0.54606366
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,healthcare-providers,0.40970185,data-science,0.5534869,data-science,0.5534869
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf,0.293398,long-short-term,0.35116297,long-short-term,0.35116297
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,present,0.39618495,of,0.63723874,generative,0.48216146
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,particular,0.41020766,of,0.6936578,generative,0.5711796
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,concerns,0.33428794,confusion,0.6494896,confusion-matrix,0.47983494
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,according,0.3602386,classification,0.6492659,classification,0.6492659
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assessed,0.33986524,of,0.605934,component-analysis,0.41855076
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,using,0.47332245,analysis,0.5968549,component-analysis,0.526608
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction,0.6361519,classification-algorithm,0.67946094,classification-algorithm,0.67946094
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,model,0.48485535,model,1.0,markov-model,0.7005576
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.35860935,recurrent,0.53675485,logistic-regression,0.52381086
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction-model,0.70854896,markov-model,0.7148334,markov-model,0.7148334
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,identify,0.46963936,analysis,0.5445881,clustering,0.4863696
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.35860935,recurrent,0.53675485,logistic-regression,0.52381086
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction,0.6361519,classification-algorithm,0.67946094,classification-algorithm,0.67946094
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,models,0.53762007,model,0.8940372,markov-model,0.7015921
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,conducted,0.39637828,data,0.556862,statistical,0.4670034
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk-prediction,0.64593977,classification-algorithm,0.71407217,classification-algorithm,0.71407217
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction-models,0.719873,machine-learning,0.719873,machine-learning,0.719873
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk-prediction-models,0.7157521,classification-algorithm,0.73765415,classification-algorithm,0.73765415
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,left,0.2544507,tracking,0.42924023,object-tracking,0.3633091
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,ventricular,0.24852064,rate,0.37094042,long-short-term,0.34148398
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,ejection,0.30230433,function,0.43955976,gradient,0.35697576
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,fraction,0.25137818,component,0.50911963,gradient,0.48876822
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,left-ventricular,0.30000108,batch-normalization,0.40942025,batch-normalization,0.40942025
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,ventricular-ejection,0.26988763,rate,0.43059248,gradient,0.41159958
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,ejection-fraction,0.36681443,stochastic-gradient,0.5523829,stochastic-gradient,0.5523829
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.118691005,confusion-matrix,0.29613543,confusion-matrix,0.29613543
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,external,0.24276523,connected,0.4833919,data-augmentation,0.40820563
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,validation,0.5362086,cross-validation,0.74016297,cross-validation,0.74016297
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,external-validation,0.5778746,cross-validation,0.7483893,cross-validation,0.7483893
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,distinct,0.36295342,feature,0.580647,clustering,0.5409523
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.35860935,recurrent,0.53675485,logistic-regression,0.52381086
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction,0.6361519,classification-algorithm,0.67946094,classification-algorithm,0.67946094
