Document,Phrase,CardVal,RefinedWord,RefinedVal,ManRefWord,ManRefVal
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,models,0.19961227,of,0.39522392,congenital-heart-disease,0.35803363
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,discussed,0.42584902,as,0.54987454,cardiology,0.42584902
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,internal,0.33825016,artery,0.46088225,artery,0.46088225
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,validation,0.3290826,of,0.43553495,heart-failure,0.3812675
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,internal-validation,0.32116336,venous-return,0.45430973,venous-return,0.45430973
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,predict,0.19493632,of,0.46450508,venous-return,0.34201604
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.30685735,chd,0.5779637,chd,0.5779637
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,allows,0.20518643,of,0.5544299,flow,0.40244576
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,healthcare,0.47028068,cardiology,0.47028068,cardiology,0.47028068
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,providers,0.5168287,cardiology,0.5168287,cardiology,0.5168287
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,healthcare-providers,0.48351508,cardiology,0.48351508,cardiology,0.48351508
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf,0.38390464,heart-failure,0.63991886,heart-failure,0.63991886
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,present,0.34922045,of,0.63723874,anomaly,0.40175247
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,particular,0.34937102,of,0.6936578,anomalous,0.4519893
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,concerns,0.41936314,great,0.5325278,cardiology,0.41936314
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,according,0.3426876,as,0.48304257,rai,0.3796531
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assessed,0.32085416,of,0.605934,flow,0.3956796
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,using,0.20786116,with,0.58010674,flow,0.41007757
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction,0.25181523,of,0.47743863,congestive-heart-failure,0.36931968
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,model,0.15189978,of,0.41477072,congenital-heart-disease,0.3376758
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.30685735,chd,0.5779637,chd,0.5779637
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction-model,0.22683395,venous-return,0.36088276,venous-return,0.36088276
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,identify,0.21561515,of,0.45370293,congenital-heart-disease,0.31897438
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.30685735,chd,0.5779637,chd,0.5779637
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction,0.25181523,of,0.47743863,congestive-heart-failure,0.36931968
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,models,0.19961227,of,0.39522392,congenital-heart-disease,0.35803363
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,conducted,0.33747825,of,0.5328569,congenital-heart-disease,0.34614092
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk-prediction,0.345095,heart-disease,0.4934518,heart-disease,0.4934518
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction-models,0.23241714,single-ventricle,0.35599178,single-ventricle,0.35599178
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk-prediction-models,0.28052905,congenital-heart-disease,0.44657955,congenital-heart-disease,0.44657955
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,left,0.3872844,left,1.0,left-atrial,0.6573896
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,ventricular,0.49640656,ventricular,1.0,ventricular,1.0
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,ejection,0.42473865,ventricular,0.6757684,ventricular,0.6757684
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,fraction,0.2824625,isolated,0.5140033,ventricular,0.42264658
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,left-ventricular,0.47815377,ventricular,0.9088085,ventricular,0.9088085
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,ventricular-ejection,0.45086157,ventricular,0.8827383,ventricular,0.8827383
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,ejection-fraction,0.2780968,ventricular,0.50171983,ventricular,0.50171983
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,external,0.29746136,of,0.4755252,anomalous,0.3880807
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,validation,0.3290826,of,0.43553495,heart-failure,0.3812675
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,external-validation,0.31959862,venous-return,0.4819317,venous-return,0.4819317
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,distinct,0.19512047,of,0.5551601,anomalous,0.45986664
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.30685735,chd,0.5779637,chd,0.5779637
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction,0.25181523,of,0.47743863,congestive-heart-failure,0.36931968
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,variables,0.28295675,of,0.44578728,venous-return,0.39021647
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk-prediction,0.345095,heart-disease,0.4934518,heart-disease,0.4934518
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,distinct,0.19512047,of,0.5551601,anomalous,0.45986664
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,predictor,0.24674982,as,0.45541835,chd,0.39992505
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,variables,0.28295675,of,0.44578728,venous-return,0.39021647
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,predictor-variables,0.23739848,congenital-heart-disease,0.47714326,congenital-heart-disease,0.47714326
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,characteristics,0.21032988,of,0.5401758,anomalous,0.38450566
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,including,0.2742056,of,0.6619886,congenital,0.3605199
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,male,0.3213997,with,0.46579415,mi,0.43337548
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,sex,0.29196534,congenital-heart-disease,0.40851635,congenital-heart-disease,0.40851635
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,characteristics-including,0.27410764,of,0.55792254,anomalous,0.4131521
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,male-sex,0.1750514,chd,0.3287017,chd,0.3287017
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,models,0.19961227,of,0.39522392,congenital-heart-disease,0.35803363
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assessed,0.32085416,of,0.605934,flow,0.3956796
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf,0.38390464,heart-failure,0.63991886,heart-failure,0.63991886
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hospitalizations,0.45230448,chd,0.5185937,chd,0.5185937
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf-hospitalizations,0.51139414,heart-failure,0.6202102,heart-failure,0.6202102
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,cardiovascular,0.575528,chd,0.68271995,chd,0.68271995
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,death,0.30044052,failure,0.5122394,infarction,0.4996428
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,cardiovascular-death,0.55456674,chd,0.6699116,chd,0.6699116
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,models,0.19961227,of,0.39522392,congenital-heart-disease,0.35803363
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.30685735,chd,0.5779637,chd,0.5779637
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction,0.25181523,of,0.47743863,congestive-heart-failure,0.36931968
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,models,0.19961227,of,0.39522392,congenital-heart-disease,0.35803363
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk-prediction,0.345095,heart-disease,0.4934518,heart-disease,0.4934518
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction-models,0.23241714,single-ventricle,0.35599178,single-ventricle,0.35599178
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk-prediction-models,0.28052905,congenital-heart-disease,0.44657955,congenital-heart-disease,0.44657955
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,identify,0.21561515,of,0.45370293,congenital-heart-disease,0.31897438
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,common,0.21206799,of,0.500178,anomaly,0.44165826
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,variables,0.28295675,of,0.44578728,venous-return,0.39021647
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,identify,0.21561515,of,0.45370293,congenital-heart-disease,0.31897438
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf,0.38390464,heart-failure,0.63991886,heart-failure,0.63991886
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.30685735,chd,0.5779637,chd,0.5779637
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf-risk,0.3819933,chd,0.6754271,chd,0.6754271
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,terminal,0.16295928,of,0.5041194,l-transposition,0.41455114
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prohormone,0.27568027,atrial,0.47738105,atrial,0.47738105
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,brain,0.2747014,cardiac,0.5094165,cardiac,0.5094165
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,systolic,0.48098868,ventricular,0.6719714,ventricular,0.6719714
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,blood,0.32078606,blood,1.0,blood,1.0
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,pressure,0.30169874,blood,0.5665527,blood,0.5665527
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,systolic-blood,0.44296455,blood,0.691996,blood,0.691996
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,blood-pressure,0.37952203,blood,0.65126884,blood,0.65126884
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,systolic-blood-pressure,0.42961985,blood,0.62121356,blood,0.62121356
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,patients,0.35241044,disease,0.5065658,heart-failure,0.5065651
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,might,0.24242394,of,0.5952132,anomalous,0.3600717
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,benefit,0.3251614,return,0.474311,heart-failure,0.40887886
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,patients-might,0.3774119,congenital-heart-disease,0.5480596,congenital-heart-disease,0.5480596
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,machine,0.37199128,cad,0.41960585,cad,0.41960585
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,learning,0.33958644,of,0.40490282,single-ventricle,0.39502156
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,tools,0.31670988,of,0.42782637,congenital-heart-disease,0.3213289
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,machine-learning,0.36460787,heartbeat,0.42890018,heartbeat,0.42890018
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,handling,0.27404976,of,0.48745817,heart-failure,0.3839382
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,missing,0.28011686,of,0.53369325,anomaly,0.43782362
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,data,0.31118363,of,0.5086956,mi,0.36251363
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,missing-data,0.28085497,congenital-heart-disease,0.44279695,congenital-heart-disease,0.44279695
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,blood,0.32078606,blood,1.0,blood,1.0
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,urea,0.16199692,blood,0.42514712,blood,0.42514712
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,nitrogen,0.13745444,total,0.37970564,cholesterol,0.35112154
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,blood-urea,0.22035475,blood-clot,0.6525449,blood-clot,0.6525449
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,urea-nitrogen,0.13079393,blood-flow,0.37584522,blood-flow,0.37584522
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,blood-urea-nitrogen,0.20123094,blood,0.54801726,blood,0.54801726
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,identified,0.21709195,isolated,0.60550874,anomaly,0.33388633
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.30685735,chd,0.5779637,chd,0.5779637
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,systematic,0.30789188,of,0.5083823,congenital-heart-disease,0.39102057
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,literature,0.36901063,of,0.4653955,anomaly,0.4380433
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,review,0.438658,of,0.54425275,cardiology,0.438658
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,systematic-literature,0.32297635,of,0.5008236,congenital-heart-disease,0.39650857
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,literature-review,0.37814057,congenital-heart-disease,0.4297125,congenital-heart-disease,0.4297125
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,systematic-literature-review,0.34087515,of,0.4580175,congenital-heart-disease,0.41816264
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assess,0.37312466,of,0.49566716,pulmonary,0.375783
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,statistical,0.32752115,of,0.40241736,congenital-heart-disease,0.36489835
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,approach,0.24478336,of,0.42712367,l-transposition,0.40473902
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,publications,0.4594617,cardiology,0.4594617,cardiology,0.4594617
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,reported,0.2535432,of,0.6039252,l-transposition,0.37000108
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,detail,0.35711303,of,0.52554643,anomalous,0.43140408
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,overall,0.28817955,of,0.5869458,chd,0.41920155
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,low,0.33154353,with,0.5951388,flow,0.4108625
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,rob,0.20263225,dorv,0.3384785,dorv,0.3384785
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,overall-low,0.20265011,venous-return,0.40514672,venous-return,0.40514672
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,bias,0.21969397,weak,0.34950268,lai,0.32676864
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assessment,0.41014358,of,0.5184958,flow,0.45548397
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,tool,0.29163375,as,0.4623517,artery-disease,0.31557494
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,bias-assessment,0.398519,venous-return,0.4265928,venous-return,0.4265928
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assessment-tool,0.41843995,cardiology,0.41843995,cardiology,0.41843995
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction,0.25181523,of,0.47743863,congestive-heart-failure,0.36931968
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,models,0.19961227,of,0.39522392,congenital-heart-disease,0.35803363
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction-models,0.23241714,single-ventricle,0.35599178,single-ventricle,0.35599178
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.30685735,chd,0.5779637,chd,0.5779637
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assess,0.37312466,of,0.49566716,pulmonary,0.375783
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,risk,0.30685735,chd,0.5779637,chd,0.5779637
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,cardiovascular,0.575528,chd,0.68271995,chd,0.68271995
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,death,0.30044052,failure,0.5122394,infarction,0.4996428
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,cardiovascular-death,0.55456674,chd,0.6699116,chd,0.6699116
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,prediction,0.25181523,of,0.47743863,congestive-heart-failure,0.36931968
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,publications,0.4594617,cardiology,0.4594617,cardiology,0.4594617
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf,0.38390464,heart-failure,0.63991886,heart-failure,0.63991886
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,outcomes,0.32847267,single-ventricle,0.47642118,single-ventricle,0.47642118
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assessed,0.32085416,of,0.605934,flow,0.3956796
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,ranked,0.37995976,as,0.51157963,cardiology,0.37995976
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,according,0.3426876,as,0.48304257,rai,0.3796531
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,publications,0.4594617,cardiology,0.4594617,cardiology,0.4594617
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,non,0.3477749,with,0.61364555,mi,0.46788454
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,may,0.26963884,of,0.58654004,anomalous,0.366544
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,march,0.39432454,cardiology,0.39432454,cardiology,0.39432454
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,xxx,0.3222348,dorv,0.4049663,dorv,0.4049663
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf,0.38390464,heart-failure,0.63991886,heart-failure,0.63991886
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hospitalization,0.4883753,failure,0.53211665,heart-failure,0.51238096
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,hf-hospitalization,0.50036544,heart-failure,0.62627625,heart-failure,0.62627625
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,rob,0.20263225,dorv,0.3384785,dorv,0.3384785
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,assessment,0.41014358,of,0.5184958,flow,0.45548397
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,literature,0.36901063,of,0.4653955,anomaly,0.4380433
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,databases,0.38172573,cardiology,0.38172573,cardiology,0.38172573
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,rob,0.20263225,dorv,0.3384785,dorv,0.3384785
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,registration,0.31536373,heartbeat,0.3267731,heartbeat,0.3267731
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,number,0.2521113,total,0.48291022,l-transposition,0.33454442
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,registration-number,0.365533,heartbeat,0.41406253,heartbeat,0.41406253
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,primary,0.31168944,of,0.5182241,congenital,0.3974473
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,outcomes,0.32847267,single-ventricle,0.47642118,single-ventricle,0.47642118
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,predictors,0.29199943,failure,0.45500726,congestive-heart-failure,0.42449278
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,included,0.3195318,of,0.58040446,congenital-heart-disease,0.39125928
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,potential,0.23291323,of,0.5645705,cardiac,0.34140193
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,utility,0.2794286,of,0.49793997,flow,0.31422362
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,nyha,0.4289499,congestive,0.58286214,congestive,0.58286214
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,class,0.2877068,of,0.3977759,d-transposition,0.36031434
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,nyha-class,0.37124214,heart-failure,0.5203762,heart-failure,0.5203762
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,novel,0.15367755,single,0.47320092,d-transposition,0.3194505
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,approaches,0.26600224,of,0.44207,single-ventricle,0.37762895
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,natriuretic,0.381192,atrial,0.6450516,atrial,0.6450516
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,peptide,0.22390819,atrial,0.42872304,atrial,0.42872304
Evaluating risk prediction models for adults with heart failure: A systematic literature review.,natriuretic-peptide,0.30771548,atrial,0.5734308,atrial,0.5734308
