Phrase,MLVal,NNVal
kernel,0.5569464,0.5423334
fourier,0.45538223,0.41186452
transform,0.42954537,0.36353135
fourier-transform,0.41838133,0.3863982
cascade,0.23810747,0.3600185
of,0.34341544,0.27063313
classifiers,0.8333409,0.6802174
machine,0.7094662,0.50380635
learning,0.709237,0.52268046
machine-learning,1.0,0.7034505
deep,0.38070458,0.34924313
learning,0.709237,0.52268046
deep-learning,0.80843407,0.64310306
neural,0.5080686,0.7153882
network,0.50771487,0.7589166
neural-network,0.7034505,1.0
network,0.50771487,0.7589166
support,0.3815906,0.37167057
vector,0.45570993,0.32918411
machine,0.7094662,0.50380635
support-vector,0.6102658,0.5627087
vector-machine,0.68567467,0.59170574
support-vector-machine,0.71415544,0.6641075
random,0.45551494,0.45576882
forest,0.4787075,0.39307594
random-forest,0.6331641,0.60257274
boosting,0.5170957,0.45178548
algorithm,0.7180419,0.67326224
supervised,0.6546646,0.5065129
unsupervised,0.76376486,0.63502824
classification,0.5994266,0.45563248
regression,0.4967034,0.4103729
logistic,0.5418149,0.45235354
regression,0.4967034,0.4103729
logistic-regression,0.5787163,0.50054044
generative,0.5961932,0.56653994
model,0.48485535,0.46662349
generative-model,0.6152117,0.5976896
discriminative,0.6014031,0.44868276
model,0.48485535,0.46662349
statistical,0.6074636,0.5324483
learning,0.709237,0.52268046
algorithm,0.7180419,0.67326224
bagging,0.57071406,0.42969102
bayesian,0.6877525,0.6151087
network,0.50771487,0.7589166
bayesian-network,0.69862175,0.83545864
bayesian,0.6877525,0.6151087
algorithm,0.7180419,0.67326224
naive,0.4513904,0.35591054
bayes,0.68863225,0.6005082
naive-bayes,0.6654135,0.6176261
adaboost,0.7560028,0.65695214
xgboost,0.6712872,0.5922661
reinforcement,0.38656837,0.43842405
learning,0.709237,0.52268046
reinforcement-learning,0.62486243,0.5858489
artificial,0.4622418,0.39758787
intelligence,0.5350207,0.49856198
artificial-intelligence,0.64611053,0.6281148
backpropagation,0.6589992,0.68737423
bag,0.28671136,0.28475958
of,0.34341544,0.27063313
words,0.40805823,0.3113271
bag-of-words,0.6550882,0.55935466
tfidf,0.49154806,0.4038918
tf-idf,0.5034407,0.43123585
batch,0.38763693,0.3382233
normalization,0.43240863,0.394147
batch-normalization,0.5548451,0.5019253
object,0.4817572,0.44256464
tracking,0.4962936,0.43041584
object-tracking,0.65084124,0.5879821
semantic,0.6095071,0.5720829
segmentation,0.62158525,0.5631971
centroid-based,0.5522388,0.516132
clustering,0.59915376,0.567008
classification,0.5994266,0.45563248
model,0.48485535,0.46662349
classification,0.5994266,0.45563248
algorithm,0.7180419,0.67326224
classification-algorithm,0.74099064,0.635357
segmentation,0.62158525,0.5631971
model,0.48485535,0.46662349
segmentation,0.62158525,0.5631971
algorithm,0.7180419,0.67326224
segmentation-algorithm,0.72160715,0.68458945
clustering,0.59915376,0.567008
confusion,0.38791996,0.3365593
matrix,0.36017767,0.4811278
confusion-matrix,0.5165437,0.5489974
convolutional,0.77214557,0.7653159
cnn,0.64719623,0.65941846
convolutional,0.77214557,0.7653159
layer,0.24029021,0.38911688
convolutional-layer,0.64913094,0.70879614
cross-validation,0.6273918,0.51243854
cross-entropy,0.62569416,0.70001006
data,0.46434748,0.37304157
augmentation,0.26757464,0.28781134
data-augmentation,0.6379616,0.59191006
decision,0.5239193,0.43955028
tree,0.44976014,0.34898275
decision-tree,0.67884475,0.60631776
dimensionality,0.5719658,0.5638773
reduction,0.22531602,0.16346432
dimensionality-reduction,0.54704034,0.544523
discriminative,0.6014031,0.44868276
model,0.48485535,0.46662349
dropout,0.35262382,0.34359998
regularization,0.6699722,0.6474495
embeddings,0.5831976,0.64726466
feature,0.5878884,0.49208194
engineering,0.45206007,0.41733944
feature-engineering,0.67185426,0.63447905
feature,0.5878884,0.49208194
selection,0.46716303,0.3417706
feature-selection,0.61733264,0.5824275
federated,0.5058604,0.43841112
learning,0.709237,0.52268046
feed,0.34040925,0.24179408
forward,0.4341811,0.34197044
neural,0.5080686,0.7153882
network,0.50771487,0.7589166
feed-forward,0.52362406,0.6838697
neural-network,0.7034505,1.0
one,0.335046,0.23887959
shot,0.27268004,0.24406536
learning,0.709237,0.52268046
one-shot,0.41370922,0.40954784
one-shot,0.41370922,0.40954784
learning,0.709237,0.52268046
few-shot,0.4834723,0.45090425
learning,0.709237,0.52268046
few,0.35244054,0.25507635
shot,0.27268004,0.24406536
learning,0.709237,0.52268046
few-shot,0.4834723,0.45090425
softmax,0.5887321,0.61985767
fully,0.35142052,0.3328858
connected,0.3488202,0.42907792
layer,0.24029021,0.38911688
fully-connected,0.51651776,0.6665836
generative,0.5961932,0.56653994
adversarial,0.5218588,0.53555405
network,0.50771487,0.7589166
adversarial,0.5218588,0.53555405
learning,0.709237,0.52268046
ground,0.32122236,0.27887043
truth,0.48587087,0.40427768
ground-truth,0.6185342,0.5408125
hidden,0.58507276,0.54084516
layer,0.24029021,0.38911688
hidden-layer,0.58354586,0.72783786
hierarchical,0.56035733,0.65977144
clustering,0.59915376,0.567008
hierarchical-clustering,0.62011695,0.7051813
k-means,0.7176553,0.6816006
learning,0.709237,0.52268046
rate,0.24866687,0.20557143
