DateTime,Keyword,Title,URL,Abstract,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
011620-185708,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Evaluating risk prediction models for adults with heart failure: A systematic literature review.,/pubmed/31940350,"BACKGROUND: The ability to predict risk allows healthcare providers to propose
which patients might benefit most from certain therapies, and is relevant to
payers' demands to justify clinical and economic value. To understand the
robustness of risk prediction models for heart failure (HF), we conducted a
systematic literature review to (1) identify HF risk-prediction models, (2)
assess statistical approach and extent of validation, (3) identify common
variables, and (4) assess risk of bias (ROB).
METHODS: Literature databases were searched from March 2013 to May 2018 to
identify risk prediction models conducted in an out-of-hospital setting in adults
with HF. Distinct risk prediction variables were ranked according to outcomes
assessed and incorporation into the studies. ROB was assessed using Prediction
model Risk Of Bias ASsessment Tool (PROBAST).
RESULTS: Of 4720 non-duplicated citations, 40 risk-prediction publications were
deemed relevant. Within the 40 publications, 58 models assessed 55 (co)primary
outcomes, including all-cause mortality (n = 17), cardiovascular death (n = 9),
HF hospitalizations (n = 15), and composite endpoints (n = 14). Few publications 
reported detail on handling missing data (n = 11; 28%). The discriminatory
ability for predicting all-cause mortality, cardiovascular death, and composite
endpoints was generally better than for HF hospitalization. 105 distinct
predictor variables were identified. Predictors included in >5 publications were:
N-terminal prohormone brain-natriuretic peptide, creatinine, blood urea nitrogen,
systolic blood pressure, sodium, NYHA class, left ventricular ejection fraction, 
heart rate, and characteristics including male sex, diabetes, age, and BMI. Only 
11/58 (19%) models had overall low ROB, based on our application of PROBAST. In
total, 26/58 (45%) models discussed internal validation, and 14/58 (24%) external
validation.
CONCLUSIONS: The majority of the 58 identified risk-prediction models for HF
present particular concerns according to ROB assessment, mainly due to lack of
validation and calibration. The potential utility of novel approaches such as
machine learning tools is yet to be determined.
REGISTRATION NUMBER: The SLR was registered in Prospero (ID: CRD42018100709).","Di Tanna GL, Wirtz H, Burrows KL, Globe G.",PloS one. doi: 10.1371/journal.pone.0224135. Journal Article.,PloS one. 2020,PubMed,Journal Article,PMID:31940350,pubmed,31940350,create date: 2020/01/15 | first author: Di Tanna GL
011620-185710,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Automated Cardiovascular Pathology Assessment Using Semantic Segmentation and Ensemble Learning.,/pubmed/31939003,"Cardiac magnetic resonance imaging provides high spatial resolution, enabling
improved extraction of important functional and morphological features for
cardiovascular disease staging. Segmentation of ventricular cavities and
myocardium in cardiac cine sequencing provides a basis to quantify cardiac
measures such as ejection fraction. A method is presented that curtails the
expense and observer bias of manual cardiac evaluation by combining semantic
segmentation and disease classification into a fully automatic processing
pipeline. The initial processing element consists of a robust dilated
convolutional neural network architecture for voxel-wise segmentation of the
myocardium and ventricular cavities. The resulting comprehensive volumetric
feature matrix captures diagnostic clinical procedure data and is utilized by the
final processing element to model a cardiac pathology classifier. Our approach
evaluated anonymized cardiac images from a training data set of 100 patients (4
pathology groups, 1 healthy group, 20 patients per group) examined at the
University Hospital of Dijon. The top average Dice index scores achieved were
0.940, 0.886, and 0.849 for structure segmentation of the left ventricle (LV),
myocardium, and right ventricle (RV), respectively. A 5-ary pathology
classification accuracy of 90% was recorded on an independent test set using the 
trained model. Performance results demonstrate the potential for advanced machine
learning methods to deliver accurate, efficient, and reproducible cardiac
pathological assessment.","Lindsey T, Lee JJ.",Journal of digital imaging. doi: 10.1007/s10278-019-00197-0. Journal Article.,Journal of digital imaging. 2020,PubMed,Journal Article,PMID:31939003,pubmed,31939003,create date: 2020/01/14 | first author: Lindsey T
011620-185718,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Physiological Assessment of Coronary Lesions in 2020.,/pubmed/31938934,"PURPOSE OF REVIEW: Physiological assessment of coronary artery disease (CAD) is
an essential component of the interventional cardiology toolbox. However, despite
long-term data demonstrating improved outcomes, physiology-guided percutaneous
coronary intervention (PCI) remains underutilized in current practice. This
review outlines the indications and technical aspects involved in evaluating
coronary stenosis physiology, focusing on the latest developments in the field.
RECENT FINDINGS: Beyond fractional flow reserve (FFR), non-hyperemic pressure
ratios (NHPR) that assess coronary physiology at rest without hyperemia now
abound. Additional advances in other alternative FFR approaches, including
non-invasive coronary CT (FFRCT), invasive angiography (FFRangio), and optical
coherence tomography (FFROCT), are being realized. Artificial intelligence
algorithms and robust tools that enable detailed pre-procedure ""virtual""
intervention are also emerging. The benefits of coronary physiological assessment
to determine lesion functional significance are well established. In addition to 
stable CAD, coronary physiology can be especially helpful in clinical scenarios
such as left main and multivessel CAD, serial lesions, non-infarct-related
arteries in acute coronary syndromes, and residual ischemia post-PCI. Today,
coronary physiological assessment remains an indispensable tool in the
catheterization laboratory, with an exciting technological future that will
further refine clinical practice and improve patient care.","Chowdhury M, Osborn EA.","Current treatment options in cardiovascular medicine. doi: 10.1007/s11936-020-0803-7. Journal Article, Review.",Current treatment options in cardiovascular medicine. 2020,PubMed,"Journal Article, Review",PMID:31938934,pubmed,31938934,create date: 2020/01/15 | first author: Chowdhury M
011620-185722,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Of Machines and Men: Intelligent Diagnosis and the Shape of Things to Come.,/pubmed/31938923,"Artificial Intelligence (AI), although well established in many areas of everyday
life, has only recently been trialed in the diagnosis and management of common
clinical conditions. This editorial review highlights progress to date and
suggests further improvements in and trials of AI in the management of conditions
such as hypertension.","Cockcroft J, Avolio A.","Current hypertension reports. doi: 10.1007/s11906-019-1010-3. Journal Article, Review.",Current hypertension reports. 2020,PubMed,"Journal Article, Review",PMID:31938923,pubmed,31938923,create date: 2020/01/14 | first author: Cockcroft J
011620-185724,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)","Cytosine and adenine base editing of the brain, liver, retina, heart and skeletal muscle of mice via adeno-associated viruses.",/pubmed/31937940,"The success of base editors for the study and treatment of genetic diseases
depends on the ability to deliver them in vivo to the relevant cell types.
Delivery via adeno-associated viruses (AAVs) is limited by AAV packaging
capacity, which precludes the use of full-length base editors. Here, we report
the application of dual AAVs for the delivery of split cytosine and adenine base 
editors that are then reconstituted by trans-splicing inteins. Optimized dual
AAVs enable in vivo base editing at therapeutically relevant efficiencies and
dosages in the mouse brain (up to 59% of unsorted cortical tissue), liver (38%), 
retina (38%), heart (20%) and skeletal muscle (9%). We also show that base
editing corrects, in mouse brain tissue, a mutation that causes Niemann-Pick
disease type C (a neurodegenerative ataxia), slowing down neurodegeneration and
increasing lifespan. The optimized delivery vectors should facilitate the
efficient introduction of targeted point mutations into multiple tissues of
therapeutic interest.","Levy JM, Yeh WH, Pendse N, Davis JR, Hennessey E, Butcher R, Koblan LW, Comander J, Liu Q, Liu DR.",Nature biomedical engineering. doi: 10.1038/s41551-019-0501-5. Journal Article.,Nature biomedical engineering. 2020,PubMed,Journal Article,PMID:31937940,pubmed,31937940,create date: 2020/01/14 | first author: Levy JM
011620-185728,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Comparative Pathology of West Nile Virus in Humans and Non-Human Animals.,/pubmed/31935992,"West Nile virus (WNV) continues to be a major cause of human arboviral
neuroinvasive disease. Susceptible non-human vertebrates are particularly
diverse, ranging from commonly affected birds and horses to less commonly
affected species such as alligators. This review summarizes the pathology caused 
by West Nile virus during natural infections of humans and non-human animals.
While the most well-known findings in human infection involve the central nervous
system, WNV can also cause significant lesions in the heart, kidneys and eyes.
Time has also revealed chronic neurologic sequelae related to prior human WNV
infection. Similarly, neurologic disease is a prominent manifestation of WNV
infection in most non-human non-host animals. However, in some avian species,
which serve as the vertebrate host for WNV maintenance in nature, severe systemic
disease can occur, with neurologic, cardiac, intestinal and renal injury leading 
to death. The pathology seen in experimental animal models of West Nile virus
infection and knowledge gains on viral pathogenesis derived from these animal
models are also briefly discussed. A gap in the current literature exists
regarding the relationship between the neurotropic nature of WNV in vertebrates, 
virus propagation and transmission in nature. This and other knowledge gaps, and 
future directions for research into WNV pathology, are addressed.","Byas AD, Ebel GD.","Pathogens (Basel, Switzerland). pii: E48. doi: 10.3390/pathogens9010048. Journal Article, Review.","Pathogens (Basel, Switzerland). 2020",PubMed,"Journal Article, Review",PMID:31935992,pubmed,31935992,create date: 2020/01/07 | first author: Byas AD
011620-185730,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Photoplethysmography based atrial fibrillation detection: a review.,/pubmed/31934647,"Atrial fibrillation (AF) is a cardiac rhythm disorder associated with increased
morbidity and mortality. It is the leading risk factor for cardioembolic stroke
and its early detection is crucial in both primary and secondary stroke
prevention. Continuous monitoring of cardiac rhythm is today possible thanks to
consumer-grade wearable devices, enabling transformative diagnostic and patient
management tools. Such monitoring is possible using low-cost easy-to-implement
optical sensors that today equip the majority of wearables. These sensors record 
blood volume variations-a technology known as photoplethysmography (PPG)-from
which the heart rate and other physiological parameters can be extracted to
inform about user activity, fitness, sleep, and health. Recently, new wearable
devices were introduced as being capable of AF detection, evidenced by large
prospective trials in some cases. Such devices would allow for early screening of
AF and initiation of therapy to prevent stroke. This review is a summary of a
body of work on AF detection using PPG. A thorough account of the signal
processing, machine learning, and deep learning approaches used in these studies 
is presented, followed by a discussion of their limitations and challenges
towards clinical applications.

© The Author(s) 2020.","Pereira T, Tran N, Gadhoumi K, Pelter MM, Do DH, Lee RJ, Colorado R, Meisel K, Hu X.","NPJ digital medicine. doi: 10.1038/s41746-019-0207-9. Journal Article, Review.",NPJ digital medicine. 2020,PubMed,"Journal Article, Review",PMID:31934647,pubmed,31934647,create date: 2020/01/10 | first author: Pereira T
011620-185733,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)","FLOW-MAP: a graph-based, force-directed layout algorithm for trajectory mapping in single-cell time course datasets.",/pubmed/31932774,"High-dimensional single-cell technologies present new opportunities for
biological discovery, but the complex nature of the resulting datasets makes it
challenging to perform comprehensive analysis. One particular challenge is the
analysis of single-cell time course datasets: how to identify unique cell
populations and track how they change across time points. To facilitate this
analysis, we developed FLOW-MAP, a graphical user interface (GUI)-based software 
tool that uses graph layout analysis with sequential time ordering to visualize
cellular trajectories in high-dimensional single-cell datasets obtained from flow
cytometry, mass cytometry or single-cell RNA sequencing (scRNAseq) experiments.
Here we provide a detailed description of the FLOW-MAP algorithm and how to use
the open-source R package FLOWMAPR via its GUI or with text-based commands. This 
approach can be applied to many dynamic processes, including in vitro stem cell
differentiation, in vivo development, oncogenesis, the emergence of drug
resistance and cell signaling dynamics. To demonstrate our approach, we perform a
step-by-step analysis of a single-cell mass cytometry time course dataset from
mouse embryonic stem cells differentiating into the three germ layers: endoderm, 
mesoderm and ectoderm. In addition, we demonstrate FLOW-MAP analysis of a
previously published scRNAseq dataset. Using both synthetic and experimental
datasets for comparison, we perform FLOW-MAP analysis side by side with other
single-cell analysis methods, to illustrate when it is advantageous to use the
FLOW-MAP approach. The protocol takes between 30 min and 1.5 h to complete.","Ko ME, Williams CM, Fread KI, Goggin SM, Rustagi RS, Fragiadakis GK, Nolan GP, Zunder ER.",Nature protocols. doi: 10.1038/s41596-019-0246-3. Journal Article.,Nature protocols. 2020,PubMed,Journal Article,PMID:31932774,pubmed,31932774,create date: 2020/01/13 | first author: Ko ME
011620-185736,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Metagenomic sequencing with spiked primer enrichment for viral diagnostics and genomic surveillance.,/pubmed/31932713,"Metagenomic next-generation sequencing (mNGS), the shotgun sequencing of RNA and 
DNA from clinical samples, has proved useful for broad-spectrum pathogen
detection and the genomic surveillance of viral outbreaks. An additional target
enrichment step is generally needed for high-sensitivity pathogen identification 
in low-titre infections, yet available methods using PCR or capture probes can be
limited by high cost, narrow scope of detection, lengthy protocols and/or
cross-contamination. Here, we developed metagenomic sequencing with spiked primer
enrichment (MSSPE), a method for enriching targeted RNA viral sequences while
simultaneously retaining metagenomic sensitivity for other pathogens. We
evaluated MSSPE for 14 different viruses, yielding a median tenfold enrichment
and mean 47% (±16%) increase in the breadth of genome coverage over mNGS alone.
Virus detection using MSSPE arboviral or haemorrhagic fever viral panels was
comparable in sensitivity to specific PCR, demonstrating 95% accuracy for the
detection of Zika, Ebola, dengue, chikungunya and yellow fever viruses in plasma 
samples from infected patients. Notably, sequences from re-emerging and/or
co-infecting viruses that have not been specifically targeted a priori, including
Powassan and Usutu, were successfully enriched using MSSPE. MSSPE is simple, low 
cost, fast and deployable on either benchtop or portable nanopore sequencers,
making this method directly applicable for diagnostic laboratory and field use.","Deng X, Achari A, Federman S, Yu G, Somasekar S, Bártolo I, Yagi S, Mbala-Kingebeni P, Kapetshi J, Ahuka-Mundeke S, Muyembe-Tamfum JJ, Ahmed AA, Ganesh V, Tamhankar M, Patterson JL, Ndembi N, Mbanya D, Kaptue L, McArthur C, Muñoz-Medina JE, Gonzalez-Bonilla CR, López S, Arias CF, Arevalo S, Miller S, Stone M, Busch M, Hsieh K, Messenger S, Wadford DA, Rodgers M, Cloherty G, Faria NR, Thézé J, Pybus OG, Neto Z, Morais J, Taveira N, R Hackett J Jr, Chiu CY.",Nature microbiology. doi: 10.1038/s41564-019-0637-9. Journal Article.,Nature microbiology. 2020,PubMed,Journal Article,PMID:31932713,pubmed,31932713,create date: 2020/01/13 | first author: Deng X
011620-185738,"(""machine learning"" OR ""deep learning"" OR ""artificial intelligence"" OR AI) AND (cardiology OR cardiovascular OR cardiac OR heart)",Comparing DNA methylation profiles across different tissues associated with the diagnosis of pediatric asthma.,/pubmed/31932625,"DNA methylation (DNAm) profiles in central airway epithelial cells (AECs) may
play a key role in pathological processes in asthma. The goal of the current
study is to compare the diagnostic performance of DNAm markers across three
tissues: AECs, nasal epithelial cells (NECs), and peripheral blood mononuclear
cells (PBMCs). Additionally, we focused on the results using the machine learning
algorithm in the context of multi-locus effects to evaluate the diagnostic
performance of the optimal subset of CpG sites. We obtained 74 subjects with
asthma and 41 controls from AECs, 15 subjects with asthma and 14 controls from
NECs, 697 subjects with asthma and 97 controls from PBMCs. Epigenome-wide DNA
methylation levels in AECs, NECs and PBMCs were measured using the Infinium Human
Methylation 450 K BeadChip. Overlap analysis across the three different sample
sources at the locus and pathway levels were studied to investigate shared or
unique pathophysiological processes of asthma across tissues. Using the top 100
asthma-associated methylation markers as classifiers from each dataset, we found 
that both AEC- and NEC-based DNAm signatures exerted a lower classification error
than the PBMC-based DNAm markers (p-value = 0.0002). The area-under-the-curve
(AUC) analysis based on out-of-bag errors using the random forest classification 
algorithm revealed that PBMC-, NEC-, and AEC-based methylation data yielded 31
loci (AUC: 0.87), 8 loci (AUC: 0.99), and 4 loci (AUC: 0.97) from each optimal
subset of tissue-specific markers, respectively. We also discovered the
locus-locus interaction of DNAm levels of the CDH6 gene and RAPGEF3 gene might
interact with each other to jointly predict the risk of asthma - which suggests
the pivotal role of cell-cell junction in the pathological changes of asthma.
Both AECs and NECs might provide better diagnostic accuracy and efficacy levels
than PBMCs. Further research is warranted to evaluate how these tissue-specific
DNAm markers classify and predict asthma risk.","Lin PI, Shu H, Mersha TB.",Scientific reports. doi: 10.1038/s41598-019-56310-4. Journal Article.,Scientific reports. 2020,PubMed,Journal Article,PMID:31932625,pubmed,31932625,create date: 2020/01/13 | first author: Lin PI
